activeKilocalories,activityType,averageHeartRateInBeatsPerMinute,averagePaceInMinutesPerKilometer,averageRunCadenceInStepsPerMinute,averageSpeedInMetersPerSecond,date,deviceName,distanceInMeters,durationInSeconds,maxHeartRateInBeatsPerMinute,maxPaceInMinutesPerKilometer,maxRunCadenceInStepsPerMinute,maxSpeedInMetersPerSecond,id,startTimeInSeconds,startTimeOffsetInSeconds,steps,summaryId
10.0,WALKING,105.0,12.391574,204.0,1.345,519.0,vivosmart4APAC,169.86,36.0,90.0,4.2636650000000005,250.0,3.909,1092_mrw_activities_5,1589877526.0,28800.0,2234.0,4956156725.0
114.0,WALKING,111.0,14.736220000000001,122.0,1.131,526.0,vivosmart4APAC,1712.73,696.0,108.0,7.810059,160.0,2.134,1092_mrw_activities_5,1590536332.0,28800.0,1542.0,4994818516.0
79.0,WALKING,81.0,14.607069000000001,122.0,1.141,528.0,vivosmart4APAC,1164.18,666.0,105.0,7.22439,132.0,2.307,1092_mrw_activities_5,1590623768.0,28800.0,168.0,5000124442.0
10.0,RUNNING,93.0,14.160294,128.0,1.177,412.0,vivosmart4APAC,149.09,126.0,103.0,9.326619,130.0,1.787,1092_mrw_activities_6,1586153015.0,28800.0,1704.0,4772714482.0
90.0,RUNNING,97.0,14.556041,120.0,1.145,412.0,vivosmart4APAC,1287.53,98.0,104.0,3.9243386,240.0,4.247,1092_mrw_activities_6,1586247427.0,28800.0,1078.0,4772714514.0
63.0,WALKING,84.0,13.290804000000001,114.0,1.254,425.0,vivosmart4APAC,829.8,853.0,121.0,7.575757,154.0,2.2,1092_mrw_activities_6,1587355816.0,28800.0,1292.0,4834683800.0
71.0,WALKING,97.0,17.182129999999997,110.0,0.97,411.0,vivosmart4APAC,973.98,1514.0,111.0,6.648052000000001,152.0,2.5069999999999997,1092_mrw_activities_7,1586572276.0,28800.0,1038.0,4767169888.0
66.0,WALKING,109.0,14.6455765,114.0,1.138,413.0,vivosmart4APAC,810.92,1020.0,123.0,4.6541934000000005,158.0,3.5810000000000004,1092_mrw_activities_7,1586574070.0,28800.0,1210.0,4776608853.0
70.0,RUNNING,93.0,15.532775,110.0,1.073,413.0,vivosmart4APAC,990.58,126.0,115.0,8.005123,142.0,2.082,1092_mrw_activities_7,1586787875.0,28800.0,1132.0,4778921981.0
59.0,WALKING,107.0,13.196094,108.0,1.263,418.0,vivosmart4APAC,942.13,1124.0,122.0,7.5108904999999995,158.0,2.219,1092_mrw_activities_7,1587177998.0,28800.0,1534.0,4799349443.0
147.0,WALKING,95.0,21.097046,100.0,0.79,411.0,vivosmart4APAC,1008.3,661.0,139.0,4.5837917,210.0,3.636,1092_mrw_activities_8,1586581516.0,28800.0,826.0,4766960359.0
90.0,WALKING,105.0,23.052097,100.0,0.723,411.0,vivosmart4APAC,546.87,1004.0,164.0,4.60787,208.0,3.617,1092_mrw_activities_8,1586596325.0,28800.0,2474.0,4769915925.0
303.0,WALKING,115.0,21.231422,100.0,0.785,418.0,vivosmart4APAC,1649.01,712.0,160.0,8.122157000000001,154.0,2.052,1092_mrw_activities_8,1587182657.0,28800.0,1386.0,4799370211.0
91.0,WALKING,115.0,20.833334,100.0,0.8,418.0,vivosmart4APAC,843.36,923.0,122.0,7.37137,158.0,2.261,1092_mrw_activities_8,1587201325.0,28800.0,894.0,4800158235.0
92.0,WALKING,128.0,25.523226,98.0,0.653,418.0,vivosmart4APAC,571.75,746.0,129.0,4.4432597000000005,226.0,3.7510000000000003,1092_mrw_activities_8,1587205780.0,28800.0,2678.0,4800497374.0
155.0,WALKING,104.0,11.345586,118.0,1.469,419.0,vivosmart4APAC,2432.27,1276.0,150.0,4.8576703000000006,168.0,3.431,1092_mrw_activities_8,1587259434.0,28800.0,1568.0,4804382533.0
119.0,WALKING,109.0,11.904762,118.0,1.4,419.0,vivosmart4APAC,1396.24,756.0,139.0,7.504127,160.0,2.221,1092_mrw_activities_8,1587267517.0,28800.0,1582.0,4804382621.0
102.0,WALKING,111.0,21.645021,96.0,0.77,419.0,vivosmart4APAC,1003.7,2100.0,115.0,4.6399403,204.0,3.592,1092_mrw_activities_8,1587268636.0,28800.0,1318.0,4804382783.0
64.0,WALKING,123.0,14.934288,102.0,1.1159999999999999,419.0,vivosmart4APAC,993.37,1054.0,112.0,10.156409,190.0,1.641,1092_mrw_activities_8,1587275020.0,28800.0,868.0,4804557329.0
65.0,WALKING,99.0,16.937668,104.0,0.9840000000000001,419.0,vivosmart4APAC,685.16,875.0,126.0,6.6427526,148.0,2.509,1092_mrw_activities_8,1587276760.0,28800.0,1132.0,4804557517.0
90.0,WALKING,91.0,13.93534,112.0,1.196,420.0,vivosmart4APAC,885.0,1656.0,130.0,9.551099,204.0,1.745,1092_mrw_activities_8,1587355987.0,28800.0,1796.0,4809741056.0
109.0,WALKING,107.0,15.318627,104.0,1.088,420.0,vivosmart4APAC,1326.87,997.0,136.0,7.394262299999999,158.0,2.254,1092_mrw_activities_8,1587360275.0,28800.0,1076.0,4812793743.0
129.0,WALKING,120.0,22.104332,110.0,0.754,421.0,vivosmart4APAC,677.47,1303.0,165.0,8.106356,208.0,2.056,1092_mrw_activities_8,1587475035.0,28800.0,1022.0,4815926940.0
154.0,WALKING,108.0,23.640663,98.0,0.705,426.0,vivosmart4APAC,689.61,890.0,162.0,7.93273,176.0,2.101,1092_mrw_activities_8,1587866207.0,28800.0,2108.0,4838444287.0
229.0,WALKING,127.0,16.972166,102.0,0.982,503.0,vivosmart4APAC,1579.4,696.0,143.0,4.1305246,246.0,4.035,1092_mrw_activities_8,1588377908.0,28800.0,1840.0,4872095165.0
123.0,WALKING,136.0,15.29052,106.0,1.09,503.0,vivosmart4APAC,1398.29,739.0,138.0,3.8034383999999997,246.0,4.382,1092_mrw_activities_8,1588392171.0,28800.0,2426.0,4872095300.0
235.0,WALKING,128.0,12.130034,118.0,1.374,503.0,vivosmart4APAC,2028.72,1219.0,162.0,4.397537000000001,240.0,3.79,1092_mrw_activities_8,1588470202.0,28800.0,236.0,4872331704.0
10.0,WALKING,108.0,5.7431655,146.0,2.9019999999999997,503.0,vivosmart4APAC,295.1,898.0,121.0,12.192148,116.0,1.367,1092_mrw_activities_8,1588478996.0,28800.0,96.0,4872399646.0
